id,sentiment140_score,sentiwordnet_score,created_at,favorite_count,hashtag_count,nouns_count,numerical_count,punctuation_count,retweets_count,uppercase_count,url_count,user_mentions_count,wiki_entities_count,word_count,url_in_newser,url_in_newser100
592822882939576320,2,0,Mon Apr 27 22:49:24 +0000 2015,0,0,1,1,4,2,5,1,1,6,21,1,1
591678169398181889,0,-0.625,Fri Apr 24 19:00:43 +0000 2015,0,0,3,0,2,1,46,1,1,4,22,0,0
603614374935166976,2,0,Wed May 27 17:30:56 +0000 2015,0,0,1,0,1,0,3,1,0,7,16,0,0
603614374935166976,2,0,Wed May 27 17:30:56 +0000 2015,0,0,1,0,1,0,3,1,0,7,16,0,0
600699654624452609,2,0,Tue May 19 16:28:52 +0000 2015,0,0,2,1,4,0,25,2,0,6,17,0,0
600699654624452609,2,0,Tue May 19 16:28:52 +0000 2015,0,0,2,1,4,0,25,2,0,6,17,0,0
600699654624452609,2,0,Tue May 19 16:28:52 +0000 2015,0,0,2,1,4,0,25,2,0,6,17,0,0
590893488280993793,2,0,Wed Apr 22 15:02:40 +0000 2015,0,0,1,0,0,2,8,1,1,5,11,0,0
590893488280993793,2,0,Wed Apr 22 15:02:40 +0000 2015,0,0,1,0,0,2,8,1,1,5,11,0,0
588952525648236544,4,0,Fri Apr 17 06:29:58 +0000 2015,2,0,1,0,0,7,11,0,5,6,16,0,0
588952525648236544,4,0,Fri Apr 17 06:29:58 +0000 2015,2,0,1,0,0,7,11,0,5,6,16,0,0
588952525648236544,4,0,Fri Apr 17 06:29:58 +0000 2015,2,0,1,0,0,7,11,0,5,6,16,0,0
588952525648236544,4,0,Fri Apr 17 06:29:58 +0000 2015,2,0,1,0,0,7,11,0,5,6,16,0,0
588952525648236544,4,0,Fri Apr 17 06:29:58 +0000 2015,2,0,1,0,0,7,11,0,5,6,16,0,0
588952525648236544,4,0,Fri Apr 17 06:29:58 +0000 2015,2,0,1,0,0,7,11,0,5,6,16,0,0
588952525648236544,4,0,Fri Apr 17 06:29:58 +0000 2015,2,0,1,0,0,7,11,0,5,6,16,0,0
588952525648236544,4,0,Fri Apr 17 06:29:58 +0000 2015,2,0,1,0,0,7,11,0,5,6,16,0,0
588952525648236544,4,0,Fri Apr 17 06:29:58 +0000 2015,2,0,1,0,0,7,11,0,5,6,16,0,0
